incident_address,n
130 WEST  183 STREET,468
86 STREET,465
40-20 BEACH CHANNEL DRIVE,463
8301 BAY PARKWAY,463
1011 SHERIDAN AVENUE,461
1795 CLINTON AVENUE,460
127-43 WILLETS POINT BOULEVARD,459
500 WEST  135 STREET,457
185 MACKENZIE STREET,456
1665 MONROE AVENUE,456
148 WEST   46 STREET,455
2832 WEST   23 STREET,455
176 CLARKSON AVENUE,455
250 EAST   29 STREET,455
155 LINDEN BOULEVARD,454
25 NEPTUNE AVENUE,454
32 AVENUE,453
WASHINGTON STREET,453
3569 DEKALB AVENUE,452
269 OCEAN PARKWAY,452
200 BROADWAY,450
AVENUE M,448
2411 DEAN STREET,448
NOSTRAND AVENUE,448
56 AVENUE,446
870 42 STREET,445
377 MONTGOMERY STREET,445
124 EAST  176 STREET,443
340 ST JOHNS PLACE,443
543 SCHROEDERS AVENUE,443
50 MANHATTAN AVENUE,442
115 HAMILTON PLACE,441
159-10 71 AVENUE,440
26 BROADWAY,439
41 AVENUE,438
QUEENS BOULEVARD,437
410 EASTERN PARKWAY,437
103 WASHINGTON STREET,436
2411 EAST    3 STREET,435
495 WEST  186 STREET,434
361 EAST  163 STREET,434
MYRTLE AVENUE,433
2 ELLWOOD STREET,433
60 EAST   93 STREET,432
736 RIVERSIDE DRIVE,432
558 SCHROEDERS AVENUE,432
PARK AVENUE,432
709 FAIRMOUNT PLACE,429
600 CONCORD AVENUE,428
2645 BRIGGS AVENUE,428
620 LENOX AVENUE,428
1684 WEST   10 STREET,427
285 LINCOLN PLACE,426
56-30 61 STREET,426
540 CONCORD AVENUE,425
2302 WEBSTER AVENUE,425
2 ELTON STREET,425
80 STREET,425
EASTERN PARKWAY,425
FLATBUSH AVENUE,424
2198 CRUGER AVENUE,424
2980 WEST   28 STREET,424
110 POST AVENUE,423
1030 CARROLL STREET,421
129 WEST  147 STREET,421
899 MONTGOMERY STREET,421
30 RICHMAN PLAZA,420
55 WINTHROP STREET,420
502 SCHROEDERS AVENUE,419
480 EAST  188 STREET,419
30 WASHINGTON STREET,417
162 WEST  144 STREET,416
FLUSHING MEADOWS PARK,416
62-60 99 STREET,416
1500 BROADWAY,415
19 COOPER STREET,415
605 WEST   42 STREET,415
1250 FRANKLIN AVENUE,415
LEXINGTON AVENUE,414
2825 WEBB AVENUE,414
4 IRVING AVENUE,413
840 GRAND CONCOURSE,413
2386 DAVIDSON AVENUE,412
308 WEST   94 STREET,412
1531 GATES AVENUE,412
3758 10 AVENUE,411
439 WEST   36 STREET,411
73 AVENUE,411
5400 FIELDSTON ROAD,411
25 AVENUE,411
347 LINCOLN ROAD,411
1 BOWLING GREEN,410
2025 SEWARD AVENUE,410
552 WEST  186 STREET,409
800 CONCOURSE VILLAGE WEST,409
108-26 159 STREET,409
2425 NOSTRAND AVENUE,409
3210 PERRY AVENUE,409
109 POST AVENUE,409
2355 EAST   12 STREET,408
BOSTON ROAD,408
AVENUE J,408
89 AVENUE,408
300 RECTOR PLACE,407
31 AVENUE,407
1630 MACOMBS ROAD,406
480 SAINT NICHOLAS AVENUE,406
1439 OCEAN AVENUE,405
168-02 91 AVENUE,405
3128 VILLA AVENUE,405
363 WEST   23 STREET,405
745 7 AVENUE,404
3605 SEDGWICK AVENUE,404
1435 UNIVERSITY AVENUE,404
331 EAST  132 STREET,403
975 LIBERTY AVENUE,402
2181 BARNES AVENUE,402
342 WEST   71 STREET,402
925 ST MARKS AVENUE,401
498 WEST  158 STREET,401
283 EAST  149 STREET,401
45 EAST MOSHOLU PARKWAY NORTH,401
450 EAST  184 STREET,400
933 REMSEN AVENUE,399
856 42 STREET,399
991 CARROLL STREET,399
